center_control_score,piece_activity_score,king_safety_score,attacking_moves_score,captures_score,pawn_structure_score,style
229,2234,237,1114,56,-55,Defensive
205,2034,244,186,98,-14,Tactical
211,1611,184,539,49,-43,Attacking
157,1445,219,431,56,-2,Defensive
302,2133,255,238,127,-64,Positional
225,2099,252,888,77,0,Defensive
174,1149,155,175,61,-25,Intuitive
144,1228,169,179,54,-12,Tactical
292,2091,239,313,107,0,Positional
179,1833,267,138,102,-18,Tactical
143,1607,205,394,68,-17,Defensive
196,1721,208,403,54,0,Tactical
336,2806,273,524,123,-82,Intuitive
296,2526,305,466,149,-14,Tactical
232,2020,259,260,66,-22,Positional
211,1991,257,54,76,-27,Defensive
264,1898,248,361,45,-17,Tactical
225,1793,249,124,61,-10,Positional
204,1469,209,298,31,-1,Positional
213,1371,212,233,64,0,Intuitive
256,1970,289,619,77,-14,Tactical
152,1820,218,443,54,-14,Intuitive
201,2367,233,902,118,-38,Tactical
244,2326,275,304,141,-30,Defensive
167,1328,187,171,41,-16,Tactical
171,1323,217,64,47,-7,Intuitive
241,2035,242,669,120,-40,Defensive
179,1892,239,353,49,-78,Positional
296,3188,398,834,133,-78,Intuitive
360,2960,326,6529,106,-41,Tactical
293,2731,255,4154,87,-25,Defensive
308,2670,348,647,101,-88,Attacking
215,2118,237,1136,84,-40,Intuitive
142,1966,246,142,61,-7,Attacking
457,3284,355,989,113,-77,Intuitive
364,3078,352,187,145,-85,Tactical
507,3843,407,4044,105,-81,Attacking
354,3518,360,3587,130,-21,Attacking
209,1741,235,1322,75,0,Intuitive
168,1557,206,63,53,-13,Attacking
192,1801,219,880,74,-53,Defensive
121,1684,207,242,51,-97,Positional
241,2029,271,571,81,-17,Defensive
226,1762,249,275,58,-34,Positional
269,2456,265,525,89,-16,Positional
213,2085,257,276,93,-4,Defensive
296,2385,255,876,120,-62,Tactical
246,2120,257,485,108,-57,Positional
260,2216,242,406,99,-12,Attacking
266,2104,278,216,99,-3,Tactical
259,1935,271,608,80,-14,Defensive
279,1987,219,1910,66,-27,Intuitive
301,2335,333,300,102,-19,Positional
285,2266,339,160,54,-18,Tactical
393,2714,334,285,118,-131,Attacking
417,2750,359,63,154,-145,Defensive
246,1953,254,508,75,-44,Intuitive
193,1774,238,93,62,-30,Positional
354,2159,291,240,135,-35,Tactical
318,2128,302,572,124,-11,Defensive
265,2031,248,419,70,-21,Tactical
228,1968,249,41,68,0,Attacking
299,2865,277,751,67,-49,Defensive
242,2714,291,1198,127,-45,Attacking
259,2153,291,568,105,-14,Positional
241,2094,260,103,128,-9,Attacking
280,2264,313,631,79,-3,Tactical
240,2171,302,109,98,-9,Attacking
305,2383,360,325,89,-5,Attacking
371,2399,377,10,91,-15,Intuitive
219,2016,249,565,71,-66,Positional
210,1877,242,667,63,-31,Attacking
227,1993,313,381,85,-45,Positional
259,1918,309,33,95,-36,Positional
362,3089,294,1007,91,-87,Attacking
307,2863,333,502,132,-43,Intuitive
187,1895,244,658,47,-13,Attacking
145,1635,249,298,92,-18,Tactical
276,2274,232,1078,70,-15,Tactical
215,2003,261,351,117,-51,Defensive
258,2167,247,823,42,-94,Intuitive
277,2392,212,972,63,-78,Attacking
304,2742,246,1306,110,-108,Positional
305,2644,279,505,114,-192,Attacking
272,2252,269,465,68,-118,Attacking
264,1922,270,1010,94,-29,Positional
147,1314,177,470,32,0,Tactical
132,1187,177,78,61,-4,Intuitive
326,2335,329,356,111,-53,Tactical
345,2482,297,575,75,-18,Defensive
246,2519,288,1163,105,-6,Attacking
271,2331,273,310,135,-63,Tactical
373,2680,282,589,96,-90,Attacking
279,2510,322,283,88,-91,Defensive
402,2920,366,1084,170,-9,Attacking
351,2760,372,252,143,-3,Tactical
184,1477,196,262,57,-15,Defensive
168,1355,214,58,44,-1,Positional
499,3914,546,974,96,-101,Tactical
510,3930,502,923,170,-151,Intuitive
264,1867,224,161,99,0,Intuitive
184,1747,226,50,76,-18,Attacking
353,3073,350,898,111,-54,Attacking
357,2950,380,544,111,-26,Positional
273,2844,284,1233,103,-68,Defensive
357,2862,295,1119,121,-74,Positional
426,4525,435,7610,100,-53,Intuitive
378,4330,396,4466,157,-130,Tactical
59,756,109,762,16,0,Attacking
62,725,107,68,30,0,Attacking
341,2578,301,530,106,-28,Positional
305,2509,340,716,87,-2,Attacking
